"","x","y","predicao","variancia"
"299",560437.60652099,9582105.53,309.182277526792,10671.306467849
"300",560447.60652099,9582105.53,309.182277526792,10671.306467849
"301",560457.60652099,9582105.53,309.182277526792,10671.306467849
"302",560467.60652099,9582105.53,309.182277526792,10671.306467849
"303",560477.60652099,9582105.53,309.182277526792,10671.306467849
"304",560487.60652099,9582105.53,309.182277526792,10671.306467849
"305",560497.60652099,9582105.53,309.182277526792,10671.306467849
"306",560507.60652099,9582105.53,309.182277526792,10671.306467849
"307",560517.60652099,9582105.53,309.182277526792,10671.306467849
"308",560527.60652099,9582105.53,309.182277526792,10671.306467849
"309",560537.60652099,9582105.53,309.182277526792,10671.306467849
"310",560547.60652099,9582105.53,309.182277526792,10671.306467849
"311",560557.60652099,9582105.53,309.182277526792,10671.306467849
"312",560567.60652099,9582105.53,309.182277526792,10671.306467849
"313",560577.60652099,9582105.53,309.182277526792,10671.306467849
"314",560587.60652099,9582105.53,309.182277526792,10671.306467849
"315",560597.60652099,9582105.53,309.182277526792,10671.306467849
"316",560607.60652099,9582105.53,309.182277526792,10671.306467849
"317",560617.60652099,9582105.53,309.182277526792,10671.306467849
"318",560627.60652099,9582105.53,309.182277526792,10671.306467849
"319",560637.60652099,9582105.53,309.182277526792,10671.306467849
"320",560647.60652099,9582105.53,309.182277526792,10671.306467849
"321",560657.60652099,9582105.53,309.182277526792,10671.306467849
"322",560667.60652099,9582105.53,309.182277526792,10671.306467849
"323",560677.60652099,9582105.53,309.182277526792,10671.306467849
"324",560687.60652099,9582105.53,309.182277526792,10671.306467849
"325",560697.60652099,9582105.53,309.182277526792,10671.306467849
"326",560707.60652099,9582105.53,309.182277526792,10671.306467849
"327",560717.60652099,9582105.53,309.182277526792,10671.306467849
"328",560727.60652099,9582105.53,309.182277526792,10671.306467849
"329",560737.60652099,9582105.53,309.182277526792,10671.306467849
"330",560747.60652099,9582105.53,309.182277526792,10671.306467849
"331",560757.60652099,9582105.53,309.182277526792,10671.306467849
"332",560767.60652099,9582105.53,309.182277526792,10671.306467849
"333",560777.60652099,9582105.53,309.182277526792,10671.306467849
"334",560787.60652099,9582105.53,309.182277526792,10671.306467849
"335",560797.60652099,9582105.53,309.182277526792,10671.306467849
"336",560807.60652099,9582105.53,309.182277526792,10671.306467849
"337",560817.60652099,9582105.53,309.182277526792,10671.306467849
"338",560827.60652099,9582105.53,309.182277526792,10671.306467849
"339",560837.60652099,9582105.53,309.182277526792,10671.306467849
"340",560847.60652099,9582105.53,309.182277526792,10671.306467849
"341",560857.60652099,9582105.53,309.182277526792,10671.306467849
"342",560867.60652099,9582105.53,309.182277526792,10671.306467849
"343",560877.60652099,9582105.53,309.182277526792,10671.306467849
"344",560887.60652099,9582105.53,309.182277526792,10671.306467849
"345",560897.60652099,9582105.53,309.182277526792,10671.306467849
"346",560907.60652099,9582105.53,309.182277526792,10671.306467849
"347",560917.60652099,9582105.53,309.182277526792,10671.306467849
"348",560927.60652099,9582105.53,309.182277526792,10671.306467849
"349",560937.60652099,9582105.53,309.182277526792,10671.306467849
