CoordX_SM,CoordY_SM,Classe
559967.6065209897,9583015.53,2.0
559967.6065209897,9583025.53,2.0
559967.6065209897,9583035.53,2.0
559967.6065209897,9583045.53,2.0
559977.6065209897,9582795.53,2.0
559977.6065209897,9582805.53,2.0
559977.6065209897,9582815.53,2.0
559977.6065209897,9582825.53,2.0
559977.6065209897,9582835.53,2.0
559977.6065209897,9582845.53,2.0
559977.6065209897,9582855.53,2.0
559977.6065209897,9582865.53,2.0
559977.6065209897,9582875.53,2.0
559977.6065209897,9582885.53,2.0
559977.6065209897,9582895.53,2.0
559977.6065209897,9582905.53,2.0
559977.6065209897,9582915.53,2.0
559977.6065209897,9582925.53,2.0
559977.6065209897,9582935.53,2.0
559977.6065209897,9582945.53,2.0
559977.6065209897,9582955.53,1.0
559977.6065209897,9582965.53,1.0
559977.6065209897,9582975.53,1.0
559977.6065209897,9582985.53,1.0
559977.6065209897,9582995.53,1.0
559977.6065209897,9583005.53,2.0
559977.6065209897,9583015.53,2.0
559977.6065209897,9583025.53,2.0
559977.6065209897,9583035.53,2.0
559977.6065209897,9583045.53,2.0
559987.6065209897,9582785.53,2.0
559987.6065209897,9582795.53,2.0
559987.6065209897,9582805.53,2.0
559987.6065209897,9582815.53,2.0
559987.6065209897,9582825.53,2.0
559987.6065209897,9582835.53,2.0
559987.6065209897,9582845.53,2.0
559987.6065209897,9582855.53,2.0
559987.6065209897,9582865.53,1.0
559987.6065209897,9582875.53,1.0
559987.6065209897,9582885.53,2.0
559987.6065209897,9582895.53,2.0
559987.6065209897,9582905.53,2.0
559987.6065209897,9582915.53,2.0
559987.6065209897,9582925.53,2.0
559987.6065209897,9582935.53,1.0
559987.6065209897,9582945.53,1.0
559987.6065209897,9582955.53,1.0
559987.6065209897,9582965.53,1.0
559987.6065209897,9582975.53,1.0
559987.6065209897,9582985.53,1.0
559987.6065209897,9582995.53,1.0
559987.6065209897,9583005.53,1.0
559987.6065209897,9583015.53,2.0
559987.6065209897,9583025.53,2.0
559987.6065209897,9583035.53,2.0
559987.6065209897,9583045.53,2.0
559997.6065209897,9582785.53,3.0
559997.6065209897,9582795.53,3.0
559997.6065209897,9582805.53,2.0
559997.6065209897,9582815.53,2.0
559997.6065209897,9582825.53,2.0
559997.6065209897,9582835.53,2.0
559997.6065209897,9582845.53,2.0
559997.6065209897,9582855.53,2.0
559997.6065209897,9582865.53,1.0
559997.6065209897,9582875.53,1.0
559997.6065209897,9582885.53,1.0
559997.6065209897,9582895.53,2.0
559997.6065209897,9582905.53,2.0
559997.6065209897,9582915.53,2.0
559997.6065209897,9582925.53,1.0
559997.6065209897,9582935.53,1.0
559997.6065209897,9582945.53,1.0
559997.6065209897,9582955.53,1.0
559997.6065209897,9582965.53,1.0
559997.6065209897,9582975.53,1.0
559997.6065209897,9582985.53,1.0
559997.6065209897,9582995.53,1.0
559997.6065209897,9583005.53,1.0
559997.6065209897,9583015.53,1.0
559997.6065209897,9583025.53,2.0
559997.6065209897,9583035.53,2.0
560007.6065209897,9582785.53,3.0
560007.6065209897,9582795.53,3.0
560007.6065209897,9582805.53,3.0
560007.6065209897,9582815.53,3.0
560007.6065209897,9582825.53,2.0
560007.6065209897,9582835.53,2.0
560007.6065209897,9582845.53,2.0
560007.6065209897,9582855.53,2.0
560007.6065209897,9582865.53,1.0
560007.6065209897,9582875.53,1.0
560007.6065209897,9582885.53,1.0
560007.6065209897,9582895.53,2.0
560007.6065209897,9582905.53,2.0
560007.6065209897,9582915.53,2.0
560007.6065209897,9582925.53,1.0
560007.6065209897,9582935.53,1.0
560007.6065209897,9582945.53,1.0
560007.6065209897,9582955.53,1.0
560007.6065209897,9582965.53,1.0
560007.6065209897,9582975.53,1.0
560007.6065209897,9582985.53,1.0
560007.6065209897,9582995.53,1.0
560007.6065209897,9583005.53,1.0
560007.6065209897,9583015.53,1.0
560007.6065209897,9583025.53,2.0
560007.6065209897,9583035.53,2.0
560017.6065209897,9582785.53,3.0
560017.6065209897,9582795.53,3.0
560017.6065209897,9582805.53,3.0
560017.6065209897,9582815.53,3.0
560017.6065209897,9582825.53,3.0
560017.6065209897,9582835.53,2.0
560017.6065209897,9582845.53,2.0
560017.6065209897,9582855.53,2.0
560017.6065209897,9582865.53,1.0
560017.6065209897,9582875.53,1.0
560017.6065209897,9582885.53,1.0
560017.6065209897,9582895.53,1.0
560017.6065209897,9582905.53,2.0
560017.6065209897,9582915.53,2.0
560017.6065209897,9582925.53,2.0
560017.6065209897,9582935.53,1.0
560017.6065209897,9582945.53,1.0
560017.6065209897,9582955.53,1.0
560017.6065209897,9582965.53,1.0
560017.6065209897,9582975.53,1.0
560017.6065209897,9582985.53,1.0
560017.6065209897,9582995.53,1.0
560017.6065209897,9583005.53,1.0
560017.6065209897,9583015.53,1.0
560017.6065209897,9583025.53,2.0
560027.6065209897,9582775.53,3.0
560027.6065209897,9582785.53,3.0
560027.6065209897,9582795.53,3.0
560027.6065209897,9582805.53,3.0
560027.6065209897,9582815.53,3.0
560027.6065209897,9582825.53,3.0
560027.6065209897,9582835.53,2.0
560027.6065209897,9582845.53,2.0
560027.6065209897,9582855.53,2.0
560027.6065209897,9582865.53,1.0
560027.6065209897,9582875.53,1.0
560027.6065209897,9582885.53,1.0
560027.6065209897,9582895.53,1.0
560027.6065209897,9582905.53,2.0
560027.6065209897,9582915.53,2.0
560027.6065209897,9582925.53,1.0
560027.6065209897,9582935.53,1.0
560027.6065209897,9582945.53,1.0
560027.6065209897,9582955.53,1.0
560027.6065209897,9582965.53,1.0
560027.6065209897,9582975.53,1.0
560027.6065209897,9582985.53,1.0
560027.6065209897,9582995.53,1.0
560027.6065209897,9583005.53,1.0
560027.6065209897,9583015.53,2.0
560027.6065209897,9583025.53,2.0
560037.6065209897,9582775.53,3.0
560037.6065209897,9582785.53,3.0
560037.6065209897,9582795.53,3.0
560037.6065209897,9582805.53,3.0
560037.6065209897,9582815.53,3.0
560037.6065209897,9582825.53,3.0
560037.6065209897,9582835.53,2.0
560037.6065209897,9582845.53,2.0
560037.6065209897,9582855.53,1.0
560037.6065209897,9582865.53,1.0
560037.6065209897,9582875.53,1.0
560037.6065209897,9582885.53,1.0
560037.6065209897,9582895.53,1.0
560037.6065209897,9582905.53,2.0
560037.6065209897,9582915.53,2.0
560037.6065209897,9582925.53,2.0
560037.6065209897,9582935.53,2.0
560037.6065209897,9582945.53,2.0
560037.6065209897,9582955.53,1.0
560037.6065209897,9582965.53,1.0
560037.6065209897,9582975.53,1.0
560037.6065209897,9582985.53,1.0
560037.6065209897,9582995.53,1.0
560037.6065209897,9583005.53,1.0
560037.6065209897,9583015.53,2.0
560047.6065209897,9582775.53,3.0
560047.6065209897,9582785.53,3.0
560047.6065209897,9582795.53,3.0
560047.6065209897,9582805.53,3.0
560047.6065209897,9582815.53,3.0
560047.6065209897,9582825.53,3.0
560047.6065209897,9582835.53,2.0
560047.6065209897,9582845.53,2.0
560047.6065209897,9582855.53,1.0
560047.6065209897,9582865.53,1.0
560047.6065209897,9582875.53,1.0
560047.6065209897,9582885.53,1.0
560047.6065209897,9582895.53,1.0
560047.6065209897,9582905.53,1.0
560047.6065209897,9582915.53,2.0
560047.6065209897,9582925.53,2.0
560047.6065209897,9582935.53,2.0
560047.6065209897,9582945.53,2.0
560047.6065209897,9582955.53,2.0
560047.6065209897,9582965.53,2.0
560047.6065209897,9582975.53,2.0
560047.6065209897,9582985.53,2.0
560047.6065209897,9582995.53,2.0
560047.6065209897,9583005.53,2.0
560057.6065209897,9582775.53,3.0
560057.6065209897,9582785.53,3.0
560057.6065209897,9582795.53,3.0
560057.6065209897,9582805.53,3.0
560057.6065209897,9582815.53,3.0
560057.6065209897,9582825.53,3.0
560057.6065209897,9582835.53,2.0
