CoordX_SM,CoordY_SM,Cls1,Cls2,Cls3
559937.6065209897,9582955.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559937.6065209897,9582965.53,2.756922251200963e-06,0.9999970377588104,2.0531893837687818e-07
559937.6065209897,9582975.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559937.6065209897,9582985.53,5.3242493685868e-06,0.9999946735005698,2.25006176783745e-09
559937.6065209897,9582995.53,5.324249368587513e-06,0.9999946735005698,2.2500617678376752e-09
559937.6065209897,9583005.53,5.3242493685868e-06,0.9999946735005698,2.25006176783745e-09
559947.6065209897,9582795.53,3.447441306852221e-06,0.9999962689883793,2.8357031399759005e-07
559947.6065209897,9582805.53,3.3969937488391835e-06,0.9999963254454661,2.775607850634216e-07
559947.6065209897,9582815.53,1.4386710839599654e-06,0.9999984793449883,8.198392783367949e-08
559947.6065209897,9582825.53,2.1003007995238664e-07,0.9999997836478975,6.322022645037357e-09
559947.6065209897,9582835.53,5.35431473750735e-09,0.9999999945725146,7.317061547692982e-11
559947.6065209897,9582845.53,1.03604264636805e-12,0.9999999999989577,6.321798241350904e-15
559947.6065209897,9582855.53,1.5189963559680322e-15,0.9999999999999984,7.433512596209433e-18
559947.6065209897,9582865.53,3.353241908103428e-15,0.9999999999999967,1.1503383840693747e-17
559947.6065209897,9582875.53,2.717404973929063e-15,0.9999999999999973,9.366333004115444e-18
559947.6065209897,9582885.53,1.98550027777527e-15,0.999999999999998,9.773739195603747e-18
559947.6065209897,9582895.53,2.0226442341801739e-10,0.9999999997959246,1.811076082781289e-12
559947.6065209897,9582905.53,2.2979600905874896e-08,0.9999999766121815,4.0821761109541995e-10
559947.6065209897,9582935.53,2.0526166491499335e-06,0.9999978125074628,1.348758879663935e-07
559947.6065209897,9582945.53,1.2371127493039687e-06,0.9999986963536811,6.65335696390784e-08
559947.6065209897,9582955.53,7.180215845362622e-07,0.999999250255107,3.172330833894547e-08
559947.6065209897,9582965.53,5.821466704244143e-07,0.9999993938987702,2.3954559405282223e-08
559947.6065209897,9582975.53,4.121531166374574e-05,0.9999587747200107,9.968325449344123e-09
559947.6065209897,9582985.53,1.871317730795797e-05,0.9999812811395966,5.683095261396495e-09
559947.6065209897,9582995.53,7.631304570530346e-06,0.999992365750151,2.945278369013946e-09
559947.6065209897,9583005.53,5.3242493685868e-06,0.9999946735005698,2.25006176783745e-09
559947.6065209897,9583015.53,5.3242493685868e-06,0.9999946735005698,2.25006176783745e-09
559957.6065209897,9582795.53,5.123685107997139e-06,0.9999943684863214,5.078285706558297e-07
559957.6065209897,9582805.53,3.82340456972763e-06,0.9999958468329893,3.297624408073793e-07
559957.6065209897,9582815.53,8.71431918978571e-07,0.9999990873615088,4.1206572261328526e-08
559957.6065209897,9582825.53,2.8127969871576417e-08,0.999999971351392,5.206381616956199e-10
559957.6065209897,9582835.53,9.789720609414762e-13,0.999999999999015,5.956674443451543e-15
559957.6065209897,9582845.53,3.534282948855063e-10,0.9999999996458864,6.851578187835534e-13
559957.6065209897,9582855.53,6.011718857340286e-08,0.9999999398203593,6.245234226834422e-11
559957.6065209897,9582865.53,1.134593015246281e-06,0.9999988647223103,6.846744814622747e-10
559957.6065209897,9582875.53,1.016548002443172e-06,0.9999989828240722,6.279253007298828e-10
559957.6065209897,9582885.53,4.466163010600866e-08,0.9999999552897734,4.859638269837809e-11
559957.6065209897,9582895.53,3.1875412211082298e-12,0.9999999999968039,8.571184549231925e-15
559957.6065209897,9582905.53,1.9303290475165007e-11,0.999999999980556,1.4088431466802147e-13
559957.6065209897,9582915.53,2.2075875628366877e-08,0.9999999775350893,3.8903520706647085e-10
559957.6065209897,9582925.53,1.0175243730162258e-07,0.9999998957224343,2.5251282366391097e-09
559957.6065209897,9582935.53,5.4642621832079074e-08,0.9999999441890748,1.1683033649711808e-09
559957.6065209897,9582945.53,3.747906900186585e-09,0.9999999962036719,4.842137714114496e-11
559957.6065209897,9582955.53,5.4086142861928066e-11,0.9999999999454856,4.2834883953838924e-13
559957.6065209897,9582965.53,5.456933709605776e-12,0.9999999999945064,3.654798143750382e-14
559957.6065209897,9582975.53,0.007947867489645375,0.9920518629254005,2.695849541845279e-07
559957.6065209897,9582985.53,0.0019135754766479226,0.9980863046042663,1.1991908569098914e-07
559957.6065209897,9582995.53,0.00024448274219603377,0.9997554839587133,3.329909077648006e-08
559957.6065209897,9583005.53,2.6588327945186046e-05,0.9999734043606361,7.311418647979627e-09
559957.6065209897,9583015.53,5.971503814308673e-06,0.999994026043713,2.4524726627734e-09
559957.6065209897,9583025.53,5.3242493685868e-06,0.9999946735005698,2.25006176783745e-09
559967.6065209897,9582795.53,8.376745235984631e-06,0.9999905558103255,1.0674444385203681e-06
559967.6065209897,9582805.53,5.35113954853297e-06,0.9999941070807752,5.417796762991851e-07
559967.6065209897,9582815.53,4.5876617139456405e-07,0.9999995237690221,1.7464806604843658e-08
559967.6065209897,9582825.53,8.411978323680004e-10,0.9999999991499608,8.841482396033779e-12
