CoordX_SM,CoordY_SM,z
559977.6065209897,9582985.53,280.5652046218969
559977.6065209897,9582995.53,287.0423654889946
559977.6065209897,9583005.53,294.0031406859015
559977.6065209897,9583015.53,300.26178923523554
559977.6065209897,9583025.53,304.73074003692113
559977.6065209897,9583035.53,306.4821726960095
559977.6065209897,9583045.53,306.4839102088669
559987.6065209897,9582785.53,345.48044218527565
559987.6065209897,9582795.53,346.73359206064674
559987.6065209897,9582805.53,343.3967035892647
559987.6065209897,9582815.53,335.78611620764264
559987.6065209897,9582825.53,325.12656052386825
559987.6065209897,9582835.53,313.1217357723327
559987.6065209897,9582845.53,302.00306850285176
559987.6065209897,9582855.53,292.4469100856114
559987.6065209897,9582865.53,284.99867968271286
559987.6065209897,9582875.53,286.57787064178154
559987.6065209897,9582885.53,294.0808111036712
559987.6065209897,9582895.53,300.85417644849787
559987.6065209897,9582905.53,303.1794076249217
559987.6065209897,9582915.53,301.61770952778403
559987.6065209897,9582925.53,297.02673816296783
559987.6065209897,9582935.53,290.1400297310459
559987.6065209897,9582945.53,282.19484962766023
559987.6065209897,9582955.53,260.9055080980145
559987.6065209897,9582965.53,258.5672463258761
559987.6065209897,9582975.53,261.40977096329846
559987.6065209897,9582985.53,268.33654045152525
559987.6065209897,9582995.53,277.4032426728909
559987.6065209897,9583005.53,286.8697761041294
559987.6065209897,9583015.53,295.39924387295764
559987.6065209897,9583025.53,302.0037068717172
559987.6065209897,9583035.53,305.8726686237796
559987.6065209897,9583045.53,306.48391020886686
559997.6065209897,9582785.53,361.9490025729908
559997.6065209897,9582795.53,363.8343539781754
559997.6065209897,9582805.53,359.7097277450196
559997.6065209897,9582815.53,350.17748959328134
559997.6065209897,9582825.53,336.78087650345634
559997.6065209897,9582835.53,322.0966618337735
559997.6065209897,9582845.53,306.1904081029111
559997.6065209897,9582855.53,291.805075445842
559997.6065209897,9582865.53,282.26355158952515
559997.6065209897,9582875.53,283.13870675413574
559997.6065209897,9582885.53,290.5526931733995
559997.6065209897,9582895.53,296.74579508208984
559997.6065209897,9582905.53,299.3553632023954
559997.6065209897,9582915.53,297.8083551196884
559997.6065209897,9582925.53,291.60232867114667
559997.6065209897,9582935.53,281.9790244787188
559997.6065209897,9582945.53,258.16444211580927
559997.6065209897,9582955.53,248.74016700205544
559997.6065209897,9582965.53,244.4987857742828
559997.6065209897,9582975.53,247.6266689447596
559997.6065209897,9582985.53,256.62527458511545
559997.6065209897,9582995.53,268.6771051960316
559997.6065209897,9583005.53,280.74107909585405
559997.6065209897,9583015.53,291.32670958555025
559997.6065209897,9583025.53,299.5583130409097
559997.6065209897,9583035.53,304.79070130644607
560007.6065209897,9582785.53,382.39519533149576
560007.6065209897,9582795.53,385.4673531796407
560007.6065209897,9582805.53,380.6453775856585
560007.6065209897,9582815.53,368.89290499068727
560007.6065209897,9582825.53,352.23377759979473
560007.6065209897,9582835.53,332.6052072277151
560007.6065209897,9582845.53,311.6264733853972
560007.6065209897,9582855.53,293.5020928698142
560007.6065209897,9582865.53,282.2665247428908
560007.6065209897,9582875.53,281.1757100524634
560007.6065209897,9582885.53,286.44180971830684
560007.6065209897,9582895.53,292.50381069684016
560007.6065209897,9582905.53,296.09009575025505
560007.6065209897,9582915.53,295.7880061106491
560007.6065209897,9582925.53,290.4185403261782
560007.6065209897,9582935.53,268.1934482590577
560007.6065209897,9582945.53,254.3787585375368
560007.6065209897,9582955.53,240.19508673142087
560007.6065209897,9582965.53,232.6457972978353
560007.6065209897,9582975.53,237.41225174234424
560007.6065209897,9582985.53,249.11080440126415
560007.6065209897,9582995.53,262.82965506071105
560007.6065209897,9583005.53,276.85723902476684
560007.6065209897,9583015.53,288.9691666814262
560007.6065209897,9583025.53,298.2640483577215
560007.6065209897,9583035.53,304.2738461681946
560017.6065209897,9582785.53,405.7412514227056
560017.6065209897,9582795.53,410.70149816113104
560017.6065209897,9582805.53,404.96879855089344
560017.6065209897,9582815.53,389.9922192829978
560017.6065209897,9582825.53,368.2981061603393
560017.6065209897,9582835.53,342.1038148687036
560017.6065209897,9582845.53,316.14448515645023
560017.6065209897,9582855.53,294.116949667834
560017.6065209897,9582865.53,279.67684512079205
560017.6065209897,9582875.53,276.0475898680327
560017.6065209897,9582885.53,281.4529289868101
560017.6065209897,9582895.53,288.378029782787
560017.6065209897,9582905.53,293.7908336654985
560017.6065209897,9582915.53,295.7427427270054
560017.6065209897,9582925.53,292.59959250639827
560017.6065209897,9582935.53,274.0322847263609
560017.6065209897,9582945.53,258.7418150911884
560017.6065209897,9582955.53,238.8718749668277
560017.6065209897,9582965.53,222.83915964278717
560017.6065209897,9582975.53,234.4064035501061
560017.6065209897,9582985.53,249.10220337107347
560017.6065209897,9582995.53,263.12762272809334
560017.6065209897,9583005.53,276.5403793067392
560017.6065209897,9583015.53,289.03046269211234
560017.6065209897,9583025.53,298.5592817401842
560027.6065209897,9582775.53,412.4203578879774
560027.6065209897,9582785.53,430.3918133008094
560027.6065209897,9582795.53,438.5010273742551
560027.6065209897,9582805.53,430.9102217531957
560027.6065209897,9582815.53,409.4928309417686
560027.6065209897,9582825.53,380.9717418290388
560027.6065209897,9582835.53,348.93215942413104
560027.6065209897,9582845.53,318.0494125786634
560027.6065209897,9582855.53,291.8483226035069
560027.6065209897,9582865.53,273.7813241675317
560027.6065209897,9582875.53,268.1558001337761
560027.6065209897,9582885.53,274.58641681693905
560027.6065209897,9582895.53,283.7994327640041
560027.6065209897,9582905.53,292.47060044303066
560027.6065209897,9582915.53,298.27722670273846
560027.6065209897,9582925.53,291.0812549109012
560027.6065209897,9582935.53,286.28540825140726
560027.6065209897,9582945.53,273.8379339488237
560027.6065209897,9582955.53,255.2249988775715
560027.6065209897,9582965.53,241.4459003103781
560027.6065209897,9582975.53,247.6402506446901
560027.6065209897,9582985.53,259.1459058617722
560027.6065209897,9582995.53,270.44491379115027
560027.6065209897,9583005.53,281.1977809628622
560027.6065209897,9583015.53,291.7607255451335
560027.6065209897,9583025.53,300.53698016298875
560037.6065209897,9582775.53,427.1963738175265
560037.6065209897,9582785.53,452.7089748653991
560037.6065209897,9582795.53,467.8688199867735
560037.6065209897,9582805.53,454.15716998135406
560037.6065209897,9582815.53,424.2649856217801
560037.6065209897,9582825.53,388.5045034850888
560037.6065209897,9582835.53,351.5233367496356
