;DADO;VALOR;VU;AREALOTE;TESTADA;PROFUND;PAVIM;TOPOGRAF;DATA;TEMPO;IA;N_PAV;RENDA;CENTENA;ANOS;E;N;BAI_LOC;ENDERECO;COMPL;FONTE;TELEFONE;ZF_NOVA;ET;NT;ET2;NT2;ETNT;D_AV
230;824;70000;179,49;390;26;15;2;3;01-ago-yyyy;2,012;1;2;1269,92;944,2;2;657715,4;6824428,1;Milanese;Rua_Albina_Milanez;NA;Multimoveis;34379363;ZR1 - 2;0,45;0,29;0,2;0,08;0,13;0,94
231;825;110000;244,44;450;15;30;1;3;01-ago-yyyy;2,012;1;4;1634,63;1168,41;2;658243,35;6824657,57;Milanese;Rua_Porto_União;NA;Crilar;99824242;ZR2-4;0,54;0,33;0,29;0,11;0,18;1,17
232;826;77400;149,91;516,3;15,5;33,31;2;3;01-jun-yyyy;2,012;1;2;1326,48;833,5;2;657672,9;6824542,69;Milanese;Rua_Santos_Milanez_Lote_91;NA;Duda_Im.;34687777;ZR1 - 2;0,45;0,31;0,2;0,1;0,14;0,83
233;827;41500;106,41;390;15;26;2;3;01-mar-yyyy;2,012;1;2;1234,95;1106,94;2;657911,02;6824394,76;Milanese;Rua_SD_592_067;Lote_132;Avalizan;3045-5598;ZR1 - 2;0,49;0,28;0,24;0,08;0,14;1,11
234;828;45000;125;360;12;30;2;3;01-ago-yyyy;2,012;1;2;1398,47;509,16;2;657359,65;6824686,89;Milanese;Rua_Thadeu_Silvestre;NA;Império;34373322;ZR1 - 2;0,39;0,34;0,15;0,11;0,13;0,51
235;829;90000;100;900;40;22,5;1;1;01-ago-yyyy;2,012;1;2;1456,17;377,26;2;658208,97;6826645,75;Operaria_no;Rua_Alvaro_Catão;NA;Milenium;99742626;ZR1 - 2;0,53;0,73;0,29;0,53;0,39;0,38
236;831;450000;549,45;819;21;39;1;1;01-jun-yyyy;2,012;3;4;1758,79;660,09;2;658124,8;6826927,3;Operária_No;Rua_Alvaro_Catão;Prox_ao_PG_Tratores;Duda_Im.;34687777;ZM2-4;0,52;0,79;0,27;0,62;0,41;0,66
237;832;30190,84;96,61;312,5;12,5;25;2;2;01-dez-yyyy;2,011;1;2;1587,23;936,85;3;657655,92;6827144,6;Operária_No;Rua_João_Pinheiro_Alves;Lote_29;Avalizan;3045-5598;ZR1 - 2;0,44;0,83;0,2;0,69;0,37;0,94
238;833;35328,38;98,13;360;14,4;25;2;2;01-mai-yyyy;2,011;1;2;1351,19;274,03;3;657899,8;6826523,59;Operária_No;Rua_José_Scotti;NA;Avalizan;3045-5598;ZR1 - 2;0,48;0,7;0,23;0,5;0,34;0,27
239;834;94783;210,63;450;15;30;2;2;01-mar-yyyy;2,012;1;2;1698,16;215,4;2;657562,79;6826273,28;Operária_No;Rua_Sebastião_Pieri;Lote_101;Avalizan;3045-5598;ZR1 - 2;0,43;0,65;0,18;0,43;0,28;0,22
240;835;350000;448,72;780;30;26;2;2;#NULO!;2,015;3;4;1533,36;1107,72;1;657102,5;6827043,41;Operária_No;Av_Luiz_Lazzarin;esq;Cosseval;3437-2788;ZM2-4;0,35;0,81;0,12;0,65;0,28;1,11
241;836;50000;165,02;303;20;15,15;2;2;#NULO!;2,015;1;2;1542,43;1084,3;1;657118,38;6827026,03;Operária_No;Rua_Anitapolis;NA;Corretor;9647-0908;ZR1 - 2;0,35;0,81;0,12;0,65;0,28;1,08
242;837;350000;448,72;780;30;26;2;2;#NULO!;2,015;1;2;1586;965,33;1;657199,49;6826938,05;Operária_No;Rua_Anitapolis;NA;Cosseval;3437-2788;ZR1 - 2;0,37;0,79;0,13;0,62;0,29;0,97
243;838;160000;266,67;600;15;40;2;1;#NULO!;2,015;1;2;1415,18;372,28;1;658194,91;6826639,93;Operária_No;Rua_Gaspar;NA;Imob._Millenium;9974-2626;ZR1 - 2;0,53;0,73;0,28;0,53;0,39;0,37
244;839;200000;470,59;425;25;17;2;3;#NULO!;2,015;1;2;1469,11;78,7;1;657938,24;6826332,08;Operária_No;Rua_José_Scotti;NA;Colombo;9904-1588;ZR1 - 2;0,49;0,67;0,24;0,44;0,33;0,08
245;840;150000;333,33;450;15;30;1;3;#NULO!;2,015;1;2;1434,27;71,02;1;658112,55;6826338,3;Operária_No;Rua__Frederico_Minatto;NA;Proprietário;9943-0658;ZR1 - 2;0,52;0,67;0,27;0,45;0,35;0,07
246;842;100000;277,78;360;15;24;2;3;01-nov-yyyy;2,012;1;2;1135;527,55;2;656139,29;6824964,74;PINHEIRINHO;Rua_Imigrante_Venson;NA;Pilar_Imoveis;34377000;ZR1 - 2;0,19;0,39;0,04;0,15;0,07;0,53
247;843;60000;172,41;348;12;29;1;3;01-nov-yyyy;2,012;1;2;1015,99;698,08;2;656105,26;6825170,76;PINHEIRINHO;Rua_Imigrante_Zanete;NA;Pilar_Imoveis;34377000;ZR1 - 2;0,18;0,43;0,03;0,19;0,08;0,7
248;844;80000;222,22;360;12;30;2;3;01-set-yyyy;2,012;1;2;1357,91;548,77;2;656489,51;6825341,55;PINHEIRINHO;Rua_Almerindo_de_Bitencourt;NA;Crilar;99824242;ZR1 - 2;0,25;0,47;0,06;0,22;0,12;0,55
249;845;60000;133,33;450;15;30;2;3;01-set-yyyy;2,012;1;2;1358,56;544,32;2;656492,22;6825337,94;PINHEIRINHO;Rua_Almerindo_de_Bitencourt;NA;Dados;9952-9900;ZR1 - 2;0,25;0,47;0,06;0,22;0,12;0,54
250;846;60000;133,33;450;15;30;2;3;01-set-yyyy;2,012;1;2;1534,59;572,45;2;656588,67;6825476;PINHEIRINHO;Rua_Artur_Frederico_de_Andr;NA;Dados;3438-3116;ZR1 - 2;0,26;0,5;0,07;0,25;0,13;0,57
251;847;55000;171,88;320;12;26,67;2;3;01-set-yyyy;2,012;1;2;1257,41;673,46;2;656367,33;6825394,73;PINHEIRINHO;Rua_Carlos_Scavone;NA;Goes_Imóveis;3045-3344;ZR1 - 2;0,23;0,48;0,05;0,23;0,11;0,67
252;848;63000;140;450;15;30;2;2;01-set-yyyy;2,012;1;2;1564,29;931,23;2;657197,23;6823904,79;PINHEIRINHO;Rua_Giacomo_Thomé;NA;Dados;99782503;ZR1 - 2;0,37;0,18;0,13;0,03;0,07;0,93
253;849;98000;269,23;364;12,5;29,12;2;3;01-set-yyyy;2,012;1;2;1268,58;256,02;2;656583,62;6825018,33;PINHEIRINHO;Rua_Imigrante_Benedet;NA;Zanetta;9145 5110;ZR1 - 2;0,26;0,4;0,07;0,16;0,11;0,26
254;850;45000;129,31;348;12;29;2;3;01-set-yyyy;2,012;1;2;1138,18;388,77;2;656373,79;6825000,62;PINHEIRINHO;Rua_Imigrante_Zanette;NA;Coseval;3437 - 2788;ZR1 - 2;0,23;0,4;0,05;0,16;0,09;0,39
255;851;55000;122,22;450;15;30;2;3;01-set-yyyy;2,012;1;2;1060,35;681,11;2;656179,81;6825219,65;PINHEIRINHO;Rua_Imigrante_Zanette;NA;Pilar_Imoveis;34377000;ZR1 - 2;0,2;0,44;0,04;0,2;0,09;0,68
256;852;57000;146,15;390;13;30;2;3;01-set-yyyy;2,012;1;2;1225,23;794,33;2;656317,79;6825517,2;PINHEIRINHO;Rua_Silvino_Rovaris;NA;Dados;9107-1801;ZR1 - 2;0,22;0,5;0,05;0,25;0,11;0,79
257;853;125000;347,22;360;12;30;1;1;01-ago-yyyy;2,012;1;2;1854,99;739,64;2;656852,17;6823838,71;PINHEIRINHO;Rua_Arthur_Eugenio_da_Silve;NA;Fanfa;99645157;ZR1 - 2;0,31;0,17;0,1;0,03;0,05;0,74
